intensity	F1(Hz)	F2(Hz)	F3(Hz)	F4(Hz)	F5(Hz)
0.00004	343.6	1482.7	2684.8	4080.8	--undefined--
0.00009	334.5	1473.2	2789.6	3880.4	--undefined--
0.0002	345.6	1427.5	2553.3	3571.2	--undefined--
0.0003	367.7	1048.7	2383.3	3430.9	--undefined--
0.002	396.0	1181.5	2556.1	3799.8	--undefined--
0.009	444.3	856.2	2869.9	3418.7	--undefined--
0.034	682.3	950.9	2819.1	3334.2	--undefined--
0.046	743.1	1169.9	2919.2	3540.8	--undefined--
0.074	933.4	1195.8	2840.5	3518.5	3523.6
0.064	933.4	1210.5	2745.0	3326.5	3974.1
0.089	942.4	1445.0	2676.3	3135.5	3540.4
0.080	940.8	1481.7	2402.7	3227.3	3769.4
0.143	939.3	1602.5	2432.8	3394.5	3960.4
0.290	819.5	1738.2	2480.6	3530.6	3851.0
0.284	755.3	1862.7	2791.9	3694.6	3890.6
0.071	611.5	1907.8	2884.2	3944.2	--undefined--
0.070	512.4	2008.5	2780.2	3854.3	--undefined--
0.040	503.0	2036.4	2824.6	3795.8	4399.7
0.023	439.2	2002.2	2834.9	3565.0	4374.2
0.012	392.6	1841.9	2838.1	3518.2	4274.3
0.015	313.6	1911.7	2693.4	3434.1	4398.3
0.010	432.1	2018.1	2779.6	3374.7	4560.6
0.010	345.8	2186.4	2856.9	3460.9	--undefined--
0.016	366.5	2241.2	2900.0	3485.8	--undefined--
0.025	394.0	2257.6	2870.6	3468.1	--undefined--
0.027	378.4	2231.4	2752.5	3476.2	5040.2
0.012	357.8	2317.1	2778.4	3575.7	--undefined--
0.002	334.1	2349.2	2852.7	3926.9	4999.1
0.009	442.3	2580.2	3369.6	4487.3	--undefined--
0.010	1466.2	2646.0	3686.7	4909.0	--undefined--
0.009	399.0	2490.0	3505.0	4381.8	5320.0
0.016	481.0	2552.8	3670.9	4785.2	--undefined--
0.007	713.0	2442.4	3671.4	4607.5	--undefined--
0.001	462.1	2161.8	3048.2	3784.6	4998.5
0.023	448.6	1586.8	2513.1	3456.4	--undefined--
0.081	627.4	1511.4	2517.4	3254.7	5143.9
0.057	758.4	1504.2	2749.6	3359.9	4869.8
0.077	753.5	1566.1	2550.1	3309.8	--undefined--
0.039	722.3	1636.0	2475.7	3392.4	4335.8
0.060	628.8	1563.1	2324.1	3446.3	5036.8
0.056	543.3	1483.9	2096.0	3372.1	3754.8
0.026	329.1	1387.0	1995.4	3486.8	4143.6
0.009	396.8	1370.6	2094.2	3396.1	--undefined--
0.003	387.1	993.4	2117.3	3303.8	--undefined--
0.001	403.0	1385.5	2497.5	3434.6	--undefined--
0.0009	467.7	1245.3	3150.2	3620.1	--undefined--
0.002	495.3	1255.4	3340.4	3587.1	--undefined--
0.003	498.1	1202.0	3398.6	3577.2	--undefined--
0.028	421.2	881.2	3379.2	3679.4	--undefined--
0.026	595.5	1014.1	3326.4	3694.4	--undefined--
0.017	818.1	1335.5	3198.9	3708.6	4665.6
0.077	1055.1	1218.9	3011.7	3790.3	4903.9
0.011	917.4	1462.9	3120.7	3821.0	4971.5
0.051	835.3	1476.5	2883.9	3853.6	4432.8
0.049	1011.8	1550.6	2792.5	3728.2	4795.6
0.033	589.0	1514.7	2866.0	3809.6	4846.7
0.353	920.1	1394.5	3490.7	3605.3	--undefined--
0.176	890.8	1434.9	3312.5	3780.0	--undefined--
0.132	851.7	1413.2	3358.6	3782.0	3946.4
0.076	741.6	1529.6	1689.0	3633.6	3911.0
0.061	649.2	1551.2	2409.5	3573.0	3952.0
0.005	513.4	1571.0	2977.5	3865.5	--undefined--
0.002	453.9	1554.4	2940.7	3922.7	--undefined--
0.004	487.1	1638.7	2899.7	3672.4	4489.2
0.003	445.1	2073.0	2689.5	3632.0	4037.3
0.003	575.1	2133.9	2815.0	3699.0	4480.5
0.004	452.2	1851.7	2804.6	3452.8	3877.2
0.0005	509.6	1920.0	3474.9	3640.4	--undefined--
0.0004	406.3	1660.2	3562.3	4018.9	4812.5
0.0005	501.8	1577.9	3330.8	4014.8	4943.8
0.0006	557.6	1569.7	3744.4	4622.3	4703.3
0.0005	536.9	1529.4	3457.3	4333.8	4953.5
0.001	480.1	1495.3	3661.3	3774.1	4878.3
0.006	522.7	1475.8	3573.9	4297.5	--undefined--
0.079	626.7	1557.3	2510.3	3601.8	--undefined--
0.083	673.8	1568.7	2480.5	3578.3	--undefined--
0.075	689.2	1567.2	2473.0	3656.5	4613.2
0.067	644.6	1533.2	2425.9	3681.4	3981.5
0.048	612.4	1491.8	2465.6	3745.7	3996.0
0.004	626.8	1467.3	2363.5	3574.3	--undefined--
0.0003	592.7	1503.4	2616.6	3728.8	--undefined--
0.0002	622.3	1568.0	2613.8	3770.6	--undefined--
0.00009	655.7	1618.4	2833.2	3969.3	--undefined--
0.00002	611.1	1498.1	2683.6	3891.1	5283.0
0.0002	1383.1	1693.4	3997.7	4580.2	--undefined--
0.001	1310.7	1964.1	3762.7	4831.5	--undefined--
0.005	382.1	1703.9	3996.9	4586.2	--undefined--
0.047	547.7	1626.5	2278.5	3823.7	--undefined--
0.056	448.1	2038.5	2325.6	3879.1	--undefined--
0.033	330.0	2077.6	2518.8	4088.3	5076.2
0.111	249.4	2169.3	2524.8	3430.3	5107.7
0.077	252.2	2238.4	2647.3	3743.5	4967.4
0.041	339.3	2252.0	2727.2	4208.7	--undefined--
0.028	2136.4	2926.9	4351.5	5206.9	--undefined--
0.023	2347.5	3077.2	4200.1	4968.7	--undefined--
0.013	2244.7	2587.1	4104.4	4958.6	--undefined--
0.028	2161.7	2776.5	4229.5	4696.4	--undefined--
0.025	2368.6	3101.1	3780.5	4564.6	--undefined--
0.0004	1995.9	2623.2	4131.3	4738.1	--undefined--
0.00009	1541.1	2323.9	3730.2	4548.0	--undefined--
0.00006	1205.8	2132.5	3741.8	4524.6	--undefined--
0.004	541.5	1076.3	3162.8	4276.1	--undefined--
0.024	739.2	1690.6	3152.4	4303.8	5175.9
0.068	506.5	1822.6	2658.9	4045.7	4508.3
0.100	735.4	1633.2	3375.5	4080.8	--undefined--
0.375	918.9	1019.5	2748.1	3897.4	--undefined--
0.460	897.9	1292.1	2671.4	3621.8	4642.9
0.206	838.3	1230.4	2712.8	3547.9	--undefined--
0.117	834.3	1310.0	2822.7	3725.4	4994.6
0.189	851.1	1280.2	2796.7	3891.8	5336.7
0.243	872.4	1238.7	2969.5	3704.5	--undefined--
0.239	891.7	1375.3	2869.9	3822.4	--undefined--
0.197	908.6	1331.5	2828.1	3743.1	--undefined--
0.270	947.0	1530.2	2741.8	3788.9	4976.5
0.299	852.0	1512.6	2527.9	3994.9	4745.8
0.117	814.5	1395.0	2450.8	4013.6	--undefined--
0.009	1173.3	1965.9	3322.3	4380.4	--undefined--
0.004	847.8	1679.3	2972.6	4122.8	--undefined--
0.0006	960.8	1476.6	2777.1	4234.8	4938.9
0.0002	1016.6	1516.3	2772.5	3811.9	--undefined--
0.0001	930.3	1576.2	2726.1	3908.2	--undefined--
0.004	905.4	2160.0	3662.6	4100.4	4876.7
0.007	1559.1	2529.7	3900.7	4606.7	--undefined--
0.015	323.9	1927.2	2560.6	4051.3	5151.2
0.019	1676.3	2447.9	3922.0	4787.1	--undefined--
0.032	1396.5	2276.4	3262.1	3871.6	--undefined--
0.024	1010.2	2380.7	3009.1	3701.9	--undefined--
0.013	627.7	1364.4	2452.8	3688.8	4784.3
0.013	565.0	1278.7	2488.9	3430.3	5242.9
0.009	587.1	1251.8	2460.1	3450.2	5020.4
0.002	1151.7	2367.0	3489.3	4654.6	--undefined--
0.0009	1309.9	2441.8	3516.2	4770.0	--undefined--
0.002	869.7	2450.3	3856.5	4158.3	--undefined--
0.021	473.6	1392.7	2359.7	3348.1	4060.9
0.028	437.5	2134.3	2763.7	3555.3	4286.4
0.047	457.0	2179.2	2729.6	3537.5	4563.0
0.067	451.3	2180.9	2929.4	3617.1	4505.0
0.056	428.6	2173.4	3003.8	3589.3	4470.2
0.053	461.8	2192.1	2934.6	3542.7	4353.5
0.020	507.8	2114.0	2403.6	3385.2	4236.7
0.002	371.9	1802.6	2415.7	3402.3	4062.8
0.0001	380.5	2038.8	2916.4	3458.0	4133.7
0.00003	1346.6	2152.6	3373.8	4378.6	--undefined--
0.000004	1111.5	2342.0	3588.2	4935.8	--undefined--
0.0008	1194.2	2459.8	2986.1	3908.7	--undefined--
0.001	1433.8	2988.5	3674.8	4448.5	--undefined--
0.0007	1756.4	3451.4	3494.7	5328.4	--undefined--
0.002	1074.3	2133.7	3131.5	4185.2	--undefined--
0.020	1177.2	2547.0	3258.8	4616.5	--undefined--
0.028	1311.9	2528.3	3420.7	5076.6	--undefined--
0.050	1320.1	2517.6	3286.3	4349.8	--undefined--
0.203	635.2	1872.5	2602.2	3445.6	4433.1
0.618	705.0	2136.6	2749.2	3715.3	--undefined--
0.595	508.5	2201.7	2849.1	3691.8	--undefined--
0.680	563.9	2204.5	2860.0	3678.9	--undefined--
0.727	521.0	2236.9	2907.8	3743.0	--undefined--
0.878	807.8	2251.9	2969.5	3964.9	--undefined--
0.927	480.1	2261.5	2788.8	3947.5	4656.9
1.004	566.6	2106.6	2646.8	3403.5	4502.3
1.239	569.3	2102.9	2755.3	3640.7	4192.7
1.009	659.6	2122.4	2829.8	4045.6	--undefined--
0.852	657.7	2131.1	2887.5	3102.9	4374.5
0.847	675.0	2125.3	2887.2	3241.8	4394.8
0.813	700.0	2118.7	2784.3	3497.7	4487.4
0.700	624.2	2092.9	2640.9	3481.9	4260.8
0.471	683.0	2064.8	2491.6	3284.0	4311.4
0.443	657.3	2082.6	2445.0	3087.3	4252.6
0.537	628.5	2192.2	2553.5	3327.7	4149.6
0.321	584.7	2203.6	2746.4	3771.3	4293.1
0.273	620.8	2223.8	2693.0	3667.0	4776.8
0.193	548.2	2315.9	2858.0	3743.0	5115.1
0.156	508.7	2259.0	2737.3	3698.8	--undefined--
0.085	569.9	2266.8	2646.7	3754.6	5036.3
0.046	495.9	2288.8	2653.2	3846.8	--undefined--
0.020	478.1	2224.3	2632.7	3790.8	--undefined--
0.010	491.6	2167.1	2580.1	3725.0	--undefined--
0.003	378.6	1971.5	2472.3	3694.8	--undefined--
0.0005	1859.4	2523.3	3892.1	--undefined--	--undefined--
0.0003	1753.4	2513.0	3199.0	4860.8	--undefined--
0.0005	1610.9	2389.9	3973.6	5007.7	--undefined--
0.0009	1509.8	2436.8	3794.4	4886.4	--undefined--
0.0003	1563.2	2411.4	4339.3	5085.0	--undefined--
0.0002	1548.9	2837.9	4108.1	4867.9	--undefined--
0.0003	385.2	2287.5	4221.5	5011.4	--undefined--
0.0002	1877.7	4269.7	4573.7	5116.7	--undefined--
0.0001	1250.0	2701.2	3920.9	4925.5	--undefined--
0.00005	1193.1	2689.0	4436.0	4986.7	--undefined--
0.0000009	1254.5	2423.9	3920.3	5188.6	--undefined--
0.0000006	1337.6	2475.7	4230.3	--undefined--	--undefined--
0.0000004	969.6	2063.5	3408.4	5443.7	--undefined--
0.0000002	1209.3	2358.1	3025.3	5419.6	--undefined--
0.0000002	1065.2	2048.8	2972.4	5436.3	--undefined--
0.0000002	1407.8	2511.7	3248.7	5426.9	--undefined--
0.0000002	1165.2	2164.1	2849.0	5441.3	--undefined--
0.0000002	1198.5	2108.9	3153.1	5413.3	--undefined--
0.0000002	1106.3	2043.6	2926.7	5420.1	--undefined--
0.0000002	1171.7	2299.1	3274.1	5415.9	--undefined--
0.0000002	1167.6	2333.1	3060.1	5414.8	--undefined--
0.0000002	1626.6	2087.4	3111.5	5407.1	--undefined--
0.0000001	1189.4	2254.5	3072.7	5415.2	--undefined--
0.0000001	1027.5	2301.0	3128.6	5410.0	--undefined--
0.0000001	1419.3	2862.6	2908.4	5434.4	--undefined--
0.0000001	1368.7	2353.8	3125.4	5434.0	--undefined--
0.0000001	1174.3	2044.8	3200.9	5415.1	--undefined--
0.0000001	996.1	1932.0	3303.2	5437.5	--undefined--
0.0000001	1023.9	2320.2	2984.2	5411.7	--undefined--
0.0000001	1297.8	1977.7	3127.0	5410.2	--undefined--
0.0000001	1054.2	2321.9	3052.7	5439.3	--undefined--
0.0000001	1304.3	2385.4	3088.6	5416.5	--undefined--
0.0000001	1119.7	2325.8	3157.2	5422.8	--undefined--
0.0000001	1241.9	2199.5	3304.3	5415.4	--undefined--
0.0000001	1306.1	2181.3	3013.1	5441.0	--undefined--
0.0000001	1130.2	2113.7	3130.9	5431.7	--undefined--
0.0000001	896.7	1985.9	2888.7	5443.7	--undefined--
0.0000001	1220.5	1970.2	3109.6	5430.0	--undefined--
0.0000001	854.8	2087.6	2950.0	5444.6	--undefined--
0.00000010	1108.8	2411.5	2604.1	5443.3	--undefined--
0.00000010	1116.6	2176.1	3204.8	5441.1	--undefined--
0.00000010	1272.8	2163.8	3264.6	5443.0	--undefined--
0.00000009	1239.1	2143.7	3126.4	5443.9	--undefined--
0.0000001	1517.5	2500.2	3368.7	5427.1	--undefined--
0.0000005	720.6	1890.8	2849.1	3605.5	--undefined--
0.000002	1816.9	2805.7	3533.8	--undefined--	--undefined--
0.000006	1284.1	2105.8	2909.2	3937.2	--undefined--
0.0003	1967.9	2670.0	3995.4	--undefined--	--undefined--
0.010	328.5	1943.4	2648.5	3321.1	4120.3
0.030	389.9	1912.1	2411.5	3193.8	4096.2
0.080	444.1	1629.7	2273.6	3418.5	4184.7
0.055	624.4	1443.1	2277.3	3467.7	3902.9
0.081	676.5	1341.3	2402.2	3542.9	4099.1
0.065	625.2	1055.2	2372.0	3458.0	4538.4
0.002	668.0	1704.6	2090.3	3477.8	--undefined--
0.002	660.5	1297.6	2276.6	3583.2	--undefined--
0.0004	536.2	1362.7	2386.2	3536.9	--undefined--
0.0001	706.2	1468.4	2309.5	3616.5	--undefined--
0.00008	743.4	1355.9	2638.4	3560.5	5198.4
0.001	1066.3	1426.6	2664.0	3647.5	4765.5
0.009	892.3	2385.7	3538.2	4945.5	--undefined--
0.065	599.3	1038.5	2338.6	3516.0	4561.0
0.267	921.2	1139.9	2312.2	3580.3	--undefined--
0.217	820.2	1277.2	2232.6	3441.7	3550.6
0.255	732.7	1362.9	2121.4	3150.6	--undefined--
0.258	621.3	1413.1	1955.7	2860.2	5143.5
0.204	592.0	1497.5	1733.9	2781.8	--undefined--
0.034	794.1	1186.5	1611.5	2764.0	5418.1
0.041	707.4	1444.3	2005.6	2803.5	4499.0
0.184	632.7	1361.6	2095.9	2798.0	4701.6
0.206	648.6	1209.4	2694.8	3187.6	--undefined--
0.072	983.4	1029.5	2755.7	3310.1	--undefined--
0.017	924.6	1695.1	2635.8	3771.9	--undefined--
0.005	804.2	1424.5	2757.0	3771.6	--undefined--
0.004	904.3	1694.2	2605.1	3778.6	--undefined--
0.003	275.3	1117.7	2672.3	3797.4	--undefined--
0.007	1034.2	2542.7	3719.8	4475.0	--undefined--
0.051	660.3	940.2	2707.9	3266.3	3876.1
0.117	785.1	1030.1	2760.6	3343.0	3703.4
0.113	830.7	1196.3	2831.5	3076.4	3685.4
0.139	859.3	1342.3	2732.5	3383.3	3768.4
0.143	848.9	1503.3	2621.0	3562.9	4512.4
0.082	747.3	1778.3	2460.4	3129.4	4080.7
0.059	673.3	1752.7	2651.5	3645.2	4066.1
0.008	772.3	1639.2	2739.0	4268.5	--undefined--
0.013	584.7	1645.5	2544.8	2911.9	4152.3
0.026	577.9	1190.1	2729.2	3508.8	4123.8
0.028	559.3	1191.7	2755.2	3534.8	4019.3
0.091	805.7	1296.1	2786.8	3956.5	--undefined--
0.106	850.8	1302.8	2868.3	4142.7	4416.9
0.058	892.4	1309.4	2618.8	4070.2	5447.9
0.063	925.2	1263.3	2474.6	3778.1	4876.6
0.071	959.4	1254.3	2959.2	3640.5	--undefined--
0.042	1204.2	1216.9	2998.0	3884.5	--undefined--
0.037	1065.9	1340.6	2730.8	3452.2	4840.6
0.045	1011.7	1457.4	2699.4	3529.0	4738.8
0.034	1002.7	1628.0	3016.7	3893.3	--undefined--
0.021	1010.5	1512.7	2866.1	3008.7	4482.6
0.029	819.3	1962.9	3407.4	4583.9	--undefined--
0.041	736.1	1929.0	2696.4	3522.0	5015.5
0.013	544.6	1838.7	2545.4	3856.1	4807.7
0.007	487.9	2346.3	2949.5	4223.5	--undefined--
0.001	444.1	2093.5	3066.8	4440.0	--undefined--
0.0003	759.2	2286.6	3375.1	4875.5	--undefined--
0.00002	520.7	1144.5	3307.0	3876.5	5035.5
0.0002	477.5	662.2	3504.0	4430.4	5013.9
0.0003	726.9	2766.1	3876.6	4543.8	--undefined--
0.0008	265.8	2565.0	3648.8	4091.8	4937.7
0.0007	315.5	1965.5	3839.6	4820.8	--undefined--
0.002	352.5	1997.9	3579.4	4444.9	--undefined--
0.006	409.0	1984.5	3582.6	3901.6	--undefined--
0.009	411.0	1791.2	2279.4	3595.9	4464.5
0.013	416.0	1538.2	2360.0	3691.0	4335.2
0.011	455.8	1432.8	2440.2	3839.8	4132.6
0.027	642.5	1413.1	2334.5	3836.4	4166.7
0.032	863.1	1300.3	2210.2	3616.9	3893.4
0.024	788.7	1292.3	2423.8	3968.6	4177.3
0.049	750.6	1318.2	2438.0	3785.1	4062.1
0.043	763.4	1355.4	2363.1	3893.0	3962.6
0.019	747.9	1489.8	2496.9	3695.2	--undefined--
0.008	869.3	1626.0	2489.4	3893.5	4921.9
0.010	754.1	1877.0	2665.8	3421.9	4526.8
0.004	684.7	1929.7	2698.1	3563.2	4450.8
0.018	585.8	2025.5	2764.6	4327.6	--undefined--
0.054	631.7	2064.1	2740.0	3553.0	4469.9
0.053	598.3	2068.6	2892.7	3025.3	4298.2
0.050	555.3	2002.2	2888.2	4272.5	--undefined--
0.103	538.7	1952.1	2831.4	3568.5	4510.5
0.046	575.7	1683.2	2727.6	3517.4	4349.5
0.097	624.3	1775.9	2459.4	3851.0	--undefined--
0.066	605.4	1640.0	2490.1	3605.1	4311.6
0.004	616.0	1324.5	2460.4	3658.2	5118.7
0.002	674.8	1500.6	2642.7	3540.9	4861.1
0.001	946.4	2296.9	3964.0	--undefined--	--undefined--
0.001	1063.5	2071.6	3546.3	3975.4	--undefined--
0.005	1284.8	1939.1	2786.5	3903.2	--undefined--
0.015	463.1	1858.2	2180.3	2745.1	5004.8
0.015	519.3	1972.2	2222.5	2765.6	4537.9
0.016	617.1	2105.6	2676.9	4553.3	--undefined--
0.012	536.6	2123.8	2707.2	2807.5	4673.5
0.012	475.6	1992.5	2764.2	3032.8	4649.7
0.0007	357.3	1771.9	2714.2	4107.5	--undefined--
0.0001	233.3	2141.8	2749.6	4180.9	--undefined--
0.00005	412.8	2068.2	2615.5	4376.8	--undefined--
0.00001	438.9	2000.5	2795.2	4227.7	--undefined--
0.00002	536.2	2166.9	2822.0	4166.3	--undefined--
0.00002	565.1	2071.7	2830.5	3741.1	4713.5
0.0002	521.5	1965.7	2939.7	4203.3	4881.4
0.0008	428.6	1988.4	3027.4	4221.0	--undefined--
0.012	427.9	2024.7	2703.0	4010.7	4795.1
0.039	392.8	2075.6	2722.1	3925.7	4314.1
0.041	397.0	2083.4	2685.9	3933.0	4313.2
0.053	461.7	2106.3	2659.5	3861.4	4303.0
0.049	425.7	2139.9	2654.1	3905.3	4279.2
0.055	421.0	2168.4	2686.3	3823.5	4261.7
0.048	460.7	2179.6	2666.0	3852.9	4170.6
0.066	395.5	2242.0	2671.5	3859.6	4315.5
0.032	375.5	2226.5	2667.3	3783.6	4301.9
0.007	368.1	2230.9	2660.8	3740.5	4347.3
0.0006	361.5	2352.3	3696.0	3897.5	--undefined--
0.0002	639.6	2363.7	3329.9	4021.3	--undefined--
0.000002	1049.1	2233.0	3362.3	3756.0	--undefined--
0.000002	1129.9	2373.4	2721.1	3950.5	--undefined--
0.000002	382.8	1361.1	2657.8	3716.3	--undefined--
0.000002	994.5	2490.1	3183.6	3695.8	--undefined--
0.000004	646.5	2165.0	2347.6	3697.2	--undefined--
0.0001	885.3	1345.4	2570.1	3831.4	--undefined--
0.0002	898.3	1281.6	2538.8	3788.6	--undefined--
0.0007	745.8	1409.9	2602.1	3826.7	--undefined--
0.004	786.4	1142.1	2512.7	3606.6	--undefined--
0.048	708.6	1541.9	2394.6	3569.8	4579.2
0.028	531.5	1572.9	2361.4	3297.6	4464.3
0.0004	1501.0	2266.4	3460.6	4480.4	--undefined--
0.0001	568.3	1862.0	2273.4	3966.7	4903.3
0.00003	559.0	1453.1	3053.2	3508.5	--undefined--
0.008	1163.6	1430.5	2993.5	4013.7	4342.5
0.021	867.5	1425.0	3364.1	4248.1	--undefined--
0.002	365.1	1156.8	3326.2	4052.7	--undefined--
0.016	590.9	1196.6	2525.2	3582.8	4188.4
0.019	562.1	1248.5	2658.4	3851.5	4295.1
0.004	480.2	1309.4	2726.0	3874.9	--undefined--
0.0003	345.9	1293.6	2687.3	3913.4	--undefined--
0.0001	309.9	1342.6	2816.3	4023.4	--undefined--
0.001	289.5	1436.4	2773.4	3511.1	4684.0
0.023	291.9	1405.2	2668.1	3195.0	4610.9
0.186	788.4	1632.7	2838.7	3701.1	--undefined--
0.284	926.7	1540.1	2317.0	3147.0	3722.7
0.313	968.2	1516.1	2562.2	3547.3	3701.9
0.286	975.9	1576.9	2540.9	3723.1	--undefined--
0.164	827.2	1607.1	2534.5	3875.6	4513.7
0.062	734.2	1513.0	2567.3	3424.0	4076.2
0.028	510.4	1577.2	2568.9	2986.4	4526.9
0.013	486.7	1564.3	2498.0	2638.6	4607.3
0.001	410.7	1613.0	2663.6	4411.1	--undefined--
0.0004	658.9	1651.2	2675.9	4507.0	--undefined--
